IMO,LENGTH,WIDTH,Gross WT.,Net WT.,BUILT YEAR
9046423,146,25,11086.0,5045.0,1993.0
9055448,166,27,15183.0,6269.0,1993.0
9151307,160,25,13272.0,7249.0,1997.0
9160891,135,22,9038.0,4221.0,1998.0
9178276,196,30,26047.0,10209.0,
9179440,135,23,9038.0,4221.0,
9179464,137,22,9030.0,4222.0,
9192052,135,22,9030.0,4222.0,
9202780,136,23,,,
9212515,90,20,3000.0,900.0,
9219252,168,27,16850.0,7364.0,2001.0
9224362,128,20,7400.0,3391.0,
9229829,320,42,88493.0,36175.0,2001.0
9229831,321,43,88493.0,36175.0,2001.0
9231236,276,40,65792.0,35494.0,2002.0
9233856,260,32,39941.0,24458.0,2003.0
9236561,211,33,32060.0,12580.0,2008.0
9241463,207,29,25407.0,,2003.0
9247297,130,20,7634.0,4155.0,
9247766,300,40,75484.0,29555.0,2003.0
9250995,294,40,74071.0,28667.0,2002.0
9253014,222,30,28596.0,14769.0,2003.0
9256391,175,28,18334.0,10744.0,2004.0
9262704,299,40,75484.0,29555.0,2004.0
9262716,300,40,75484.0,29555.0,2004.0
9279226,150,23,9503.0,4643.0,2005.0
9283162,128,20,7406.0,2212.0,
9285005,323,43,89097.0,59077.0,2005.0
9286255,334,42,90745.0,55203.0,2005.0
9290103,260,32,39941.0,24458.0,
9290127,260,32,,,
9290440,294,32,53807.0,32867.0,2005.0
9292149,294,32,54271.0,31250.0,2004.0
9292151,294,32,54271.0,31250.0,2005.0
9293765,334,42,90449.0,59328.0,2005.0
9293791,334,42,90449.0,55452.0,2006.0
9293806,335,42,90449.0,59328.0,2006.0
9293818,334,42,90449.0,59328.0,2006.0
9293820,334,42,90449.0,55452.0,2006.0
9295165,294,32,54271.0,31250.0,2005.0
9295244,334,42,93750.0,37699.0,2005.0
9295256,334,42,93750.0,37699.0,2005.0
9295957,275,40,66280.0,36284.0,2005.0
9299800,348,43,107711.0,50109.0,2006.0
9300790,323,43,89097.0,55204.0,2006.0
9302138,336,46,98747.0,35315.0,2007.0
9302140,336,46,98747.0,35315.0,2007.0
9302152,336,46,98747.0,35315.0,2007.0
9302164,336,46,98747.0,35315.0,2007.0
9302176,336,46,98747.0,35315.0,2008.0
9302619,336,43,90389.0,55275.0,2016.0
9302621,335,43,90389.0,55275.0,2006.0
9302633,336,43,90389.0,55275.0,2007.0
9302645,336,43,90389.0,55275.0,2007.0
9305659,304,40,74651.0,43151.0,2006.0
9305661,304,40,74651.0,43151.0,2006.0
9305673,304,40,74651.0,43151.0,2006.0
9305685,304,40,74651.0,43151.0,2006.0
9305697,285,40,68570.0,25418.0,2006.0
9306196,304,40,73934.0,42246.0,2006.0
9307035,292,40,71837.0,29112.0,2005.0
9307047,293,40,71902.0,29112.0,2005.0
9307059,293,40,71892.0,29112.0,2006.0
9312781,338,45,97825.0,37907.0,2007.0
9312793,338,45,97825.0,37907.0,2007.0
9312808,338,46,97825.0,37907.0,2007.0
9312810,338,46,97825.0,37907.0,2007.0
9312975,336,46,98799.0,37616.0,2007.0
9312987,335,44,98799.0,37616.0,2008.0
9312999,336,46,98799.0,37616.0,2008.0
9313008,336,46,99543.0,37770.0,2008.0
9315953,264,32,42020.0,25512.0,2007.0
9317963,293,32,54309.0,34011.0,2007.0
9318187,260,32,41482.0,24504.0,2007.0
9320697,334,42,93750.0,37699.0,2006.0
9320702,334,42,93750.0,37699.0,2007.0
9321017,293,40,71837.0,29112.0,2006.0
9321029,292,40,71902.0,29112.0,2006.0
9321031,293,40,71902.0,29112.0,2006.0
9321237,316,46,86692.0,48825.0,2007.0
9321249,316,46,86692.0,48825.0,2007.0
9321251,316,46,86692.0,48825.0,2008.0
9321263,316,46,87013.0,48328.0,2008.0
9323510,303,40,74651.0,43151.0,2006.0
9324863,261,32,39906.0,24504.0,2007.0
9324875,261,32,39906.0,24504.0,2008.0
9327798,277,40,66199.0,34052.0,2007.0
9328481,231,32,35991.0,15900.0,2006.0
9332846,293,40,71786.0,26914.0,2008.0
9332858,293,40,71786.0,26914.0,2008.0
9332872,293,40,71786.0,26914.0,2009.0
9333826,294,32,54098.0,30521.0,2007.0
9333840,294,32,54098.0,30521.0,2007.0
9335800,175,28,18123.0,7996.0,2007.0
9337444,333,43,90389.0,55275.0,2008.0
9337456,333,42,90389.0,55275.0,2008.0
9337468,333,42,90532.0,55413.0,2008.0
9337470,333,42,90389.0,55275.0,2009.0
9337482,333,42,90389.0,55275.0,2009.0
9337652,294,32,55487.0,23203.0,2008.0
9337664,294,32,55487.0,23203.0,2008.0
9337688,294,32,55487.0,23203.0,2008.0
9338292,148,23,9954.0,5117.0,2007.0
9339662,316,46,87035.0,48328.0,2008.0
9343716,334,42,93750.0,37699.0,2007.0
9343730,336,42,93750.0,37699.0,2008.0
9346304,339,45,95681.0,51638.0,2008.0
9347542,340,46,95681.0,51638.0,2008.0
9347554,340,46,95681.0,51681.0,2008.0
9347566,340,46,95681.0,51638.0,2007.0
9347592,295,32,52581.0,31157.0,
9348675,294,32,54675.0,31705.0,2008.0
9349497,306,40,75579.0,44706.0,2008.0
9349502,306,40,75579.0,44708.0,2008.0
9349514,306,40,75579.0,44708.0,2008.0
9349801,275,32,50963.0,30224.0,2008.0
9351608,264,32,41225.0,24035.0,2008.0
9352406,260,32,39906.0,24504.0,2008.0
9355410,210,30,27051.0,11833.0,2008.0
9356696,304,40,76826.0,27684.0,2008.0
9356701,304,40,76862.0,27702.0,2008.0
9356713,304,40,76499.0,27684.0,2009.0
9358577,79,20,2714.0,815.0,2005.0
9360520,155,20,9056.0,4776.0,2010.0
9360623,223,30,29060.0,14422.0,2008.0
9365790,350,43,111200.0,59000.0,2009.0
9365805,350,42,111249.0,55844.0,2008.0
9385025,293,40,71786.0,26914.0,2009.0
9387437,210,30,27003.0,11833.0,2009.0
9388340,320,46,88089.0,42417.0,2008.0
9388352,320,46,88089.0,42417.0,2008.0
9389382,261,32,40487.0,18771.0,2008.0
9393022,339,46,95681.0,51638.0,2009.0
9393321,340,46,95681.0,51638.0,2009.0
9395147,336,46,98747.0,35315.0,2009.0
9395159,336,46,98747.0,35315.0,2009.0
9395161,336,46,98747.0,35315.0,2009.0
9398254,304,40,75582.0,48319.0,2009.0
9400071,306,40,75752.0,42442.0,2010.0
9400112,275,32,50963.0,30224.0,2009.0
9400590,132,19,7170.0,3068.0,2006.0
9403396,259,32,40741.0,24178.0,2009.0
9406180,264,32,41225.0,24035.0,2009.0
9406738,350,46,113412.0,58731.0,2011.0
9407134,294,32,54940.0,35134.0,2009.0
9407158,294,32,54940.0,35134.0,2010.0
9408841,350,46,113412.0,58731.0,2011.0
9408853,350,46,113412.0,58731.0,2010.0
9408865,349,45,113412.0,58731.0,2011.0
9408877,350,46,113412.0,58731.0,2011.0
9409053,262,32,40839.0,24094.0,2010.0
9415727,302,43,78316.0,40052.0,2010.0
9415844,304,40,75604.0,45843.0,2010.0
9417256,323,43,89097.0,55204.0,2009.0
9419656,210,32,27051.0,11833.0,2009.0
9424900,302,43,78316.0,40052.0,2010.0
9424912,302,43,78316.0,40052.0,2010.0
9424924,302,43,78316.0,40052.0,2010.0
9424936,302,42,78316.0,40052.0,2010.0
9436173,175,27,18326.0,10714.0,2010.0
9438523,299,40,73675.0,40754.0,2010.0
9438535,299,40,73675.0,40754.0,2010.0
9444261,293,40,71776.0,26914.0,2008.0
9444986,172,28,17211.0,7875.0,2008.0
9445899,213,32,35878.0,19672.0,2012.0
9447859,299,45,88856.0,42897.0,2011.0
9447873,300,46,88856.0,42897.0,2011.0
9447885,366,48,141328.0,153514.0,2010.0
9447914,300,46,88586.0,42897.0,2011.0
9450349,332,44,94419.0,54884.0,2009.0
9450351,332,44,94419.0,54884.0,2010.0
9450363,331,42,94419.0,54884.0,2010.0
9450399,335,42,93750.0,37699.0,2009.0
9450404,335,42,93750.0,37699.0,2010.0
